pid,date,archive_number,title,description,extent,condition,date_unvalidated,creator,collector,materials,collection,key,order,layout,notes,thumbnail,full
1,2023-10-25,23-01/1-4-1,Tinui Cub Scouts Sign,"Tinui Cub Scouts sign, grey metal painted white with text that reads ""Tinui Cub Scouts Troop"" and below ""Meet every 2nd Wednesday""",1,Good,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,000,tinui_item,"","",""
2,2023-10-25,23-01/1-4-2,Tinui Pony Club Sign,"Tinui Pony Club Sign, grey metal painted white with text that reads. ""Tinui Pony Club""",1,Fair,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,001,tinui_item,"","",""
3,2023-10-25,23-01/1-4-3,Leather Glove Sachet,"Leather gloves sachet for keeping gloves clean and safe, closed with a dome. Painted on the front are three lemons on a stem and the words ""GLOVE SACHET"" and ""KARAKA NZ.""",1,Good,Unknown,Unknown,Grant Perry,"Leather, Paint, Thread",tinui,object,002,tinui_item,"","",""
4,2023-10-25,23-01/1-4-4,Navy Blue Gloves  ,Navy blue wrist length gloves with machine embroidery. Formerly housed in leather gloves sachet ,1,Good,Unknown,Unknown,Grant Perry,"Synthetic stretch fabric, thread ",tinui,object,003,tinui_item,"","",""
5,2023-10-25,23-01/1-4-5,Hand Embroidered Bed Cover,"Hand Embroidered bed cover with a brunette woman with a plait on her left shoulder and long purple dress under a floral trelise, she is surrounded by flowers and it is bordered with lavender linen",1,Fair,1920-1930,Unknown,Unknown,"White and purple linen, embroidery thread",tinui,object,004,tinui_item,"","",""
6,2023-10-25,23-01/1-4-6,Hand Embroidered Pillow Cover,"Hand Embroidered pillow cover with a bust of a brunette woman with a plait on her left shoulder, she is surrounded by flowers and it is bordered with lavender linen",1,Fair,1920-1930,Unknown,Unknown,"White and purple linen, embroidery thread",tinui,object,005,tinui_item,"","",""
7,2023-10-25,23-01/1-4-7,Hand Embroidered Handkerchief ,"Hand Embroidered handkerchief with a bust of a brunette woman with a plait on her left shoulder, she is surrounded by flowers and bordered by a eyelet detail",1,Fair,1920-1930,Unknown,Unknown,"White linen, embroidery thread",tinui,object,006,tinui_item,"","",""
8,2023-10-25,23-01/1-4-8,Hand Embroidered Handkerchief ,"hand Embroidered handkerchief with a bust of a brunette woman with a plait on her left shoulder, she is surrounded by flowers and bordered by a eyelet detail",1,Fair,1920-1930,Unknown,Unknown,"White linen, embroidery thread",tinui,object,007,tinui_item,"","",""
9,2023-10-25,23-01/1-4-9,Pair of Black Open Toed Hannah's Pumps,"Black Open Toed Hannah's Pumps with embroidery detail on toe and four small beads on each. Writing on inside states ""Hannah, Size C 7, 714 SP624""",1,Good,Unknown,Unknown,Unknown,Black leather with tan leather interior and metal toe and heel pieces,tinui,object,008,tinui_item,Estimated 1930s - 1950s,"",""
10,2023-10-25,23-01/1-4-10,Green Floral Dress 1950s,"Green floral party dress with matching belt and collar detail. Label reads ""Exton, New Zealand""",1,Good,1950s,"Exton, New Zealand",Unknown,"Synthetic fabric, metal hardware, plastic buttons",tinui,object,009,tinui_item,"","",""
11,2023-10-25,23-01/1-4-11,"Barbers Chair, early 1900s ","Barbers Chair with red leather seat and headrest and black metal frame and footrest. Wooden trim around seat. Footplate reads ""Patented May. 21. 1878.""",1,Good,Unknown,Unknown,Unknown,"Leather, Metal, paint, wood",tinui,object,010,tinui_item,"","",""
12,2023-10-25,23-01/1-4-12,Brown Fur hat,Brown fur hat with leather inside. No label so may be handmade.,1,Good,Unknown,Unknown,Unknown,"Fur, Thread",tinui,object,011,tinui_item,"","",""
13,2023-10-25,23-01/1-4-13,Wicket basket with lid,Wicket basket with lid,1,Good,Unknown,Unknown,Unknown,Cane,tinui,object,012,tinui_item,"","",""
14,2023-10-25,23-01/1-4-14,Plastic doll with Blue Dress,Plastic doll with handmade blue Dress and blonde hair and blue eyes. Limbs are a pale pink while face is orange brown due to degredation. ,1,Fair,Unknown,Unknown,Unknown,"Plastic, fabric, metal, vinyl",tinui,object,013,tinui_item,Estimates 1950s - 1960s,"",""
15,2023-10-25,23-01/1-4-15,Brown snakeskin hat box,"Brown snakeskin hat box with handle and three locking metal clasps. Label is damaged but clearly reads ""Belliss""",1,Good,Unknown,Unknown,Belliss Family,"Snakeskin, metal, thread, fabric, leather",tinui,object,014,tinui_item,"Note inside reads ""The box and it's contents belong to Belliss""","",""
16,2023-10-25,23-01/1-4-16,Pair of Cream Crochet gloves ,Cream Crochet gloves ,1,Good,Unknown,Unknown,Belliss Family,Thread,tinui,object,015,tinui_item,"","",""
17,2023-10-25,23-01/1-4-17,Pair of Dark Blue gloves ,Pair of Dark Blue gloves with buttons and detailing on back of hands.,1,Fair,Unknown,Unknown,Belliss Family,"fabric, Thread, plastic",tinui,object,016,tinui_item,"","",""
18,2023-10-25,23-01/1-4-18,Pale blue headpiece with fabric rose,Pale blue headpiece with fabric rose,1,Fair,Unknown,Unknown,Belliss Family,"Wire, Thread, Fabric",tinui,object,017,tinui_item,"","",""
19,2023-10-25,23-01/1-4-19,"Small black handbag, 1940s","Small black handbag with metal clasp and frame. Inside is a small pcoket containing a hand mirror. Attached was a note that reads ""for the nights we dressed up to go dancing etc. after the dreary W.W.II years.""",1,Fair,1940s,Unknown,Belliss Family,"Metal, Fabric, Thread",tinui,object,018,tinui_item,"","",""
20,2023-10-25,23-01/1-4-20,Cream Crochet handbag,Cream Crochet handbag with no strap or clasps. Cream silky inside.,1,Good,Unknown,Unknown,Belliss Family,"Plastic, Fabric, Thread.",tinui,object,019,tinui_item,"","",""
21,2023-10-25,23-01/1-4-21,Blue Cotton Handkerchief,Blue Cotton Handkerchief,1,Good,Unknown,Nash's Leather Arcade. 133-135 Cuba Street. Wellington. N.Z.,Belliss Family,"fabric, Thread",tinui,object,020,tinui_item,"","",""
22,2023-10-25,23-01/1-4-22,Grey Snakeskin Hatbox,"Grey snakeskin hat box with handle and three locking metal clasps. Lined with pink floral fabric. Inside is a label that reads ""Nash's Leather Arcade. 133-135 Cuba Street. Wellington. N.Z.""",1,Good,Unknown,Unknown,Unknown,"Snakeskin, metal, thread, fabric, leather",tinui,object,021,tinui_item,"","",""
23,2023-10-25,23-01/1-4-23,Black hat with white fabric flowers,"Black hat with white fabric flowers and bows. Inside is partially illegible writing, it reads ""W. 1958"" ",1,Good,1958,Unknown,Unknown,"fabric, Thread, plastic",tinui,object,022,tinui_item,"","",""
24,2023-10-25,23-01/1-4-24,Washing Board,Light brown wood washing board with textured glass inset.,1,Good,Unknown,Unknown,Unknown,"Wood, glass",tinui,object,023,tinui_item,"","",""
25,2023-10-25,23-01/1-4-25,Red dress with lace collar and sleeves,Red dress with lace collar and sleeves,1,Good,Unknown,Unknown,Unknown,"fabric, Thread",tinui,object,024,tinui_item,Estimated 1930s - 40s based on style,"",""
26,2023-10-25,23-01/1-4-26,White doily with lace trim,Circular white doily with lace trim,1,Good,Unknown,Unknown,Unknown,"fabric, Thread",tinui,object,025,tinui_item,"","",""
27,2023-10-25,23-01/1-4-27,Travelling Case belonging to W.H French,"Brown leather travelling case with green fabric interior. Tag reads ""W.H French, Sydney""",1,Good,Unknown,Unknown,French Family,"Leather, Fabric, Thread, Metal",tinui,object,026,tinui_item,"","",""
28,2023-10-25,23-01/1-4-28,Oval Leather case with buckle,"Soft brown oval leather case with buckle, stamped into leather on front ""MADE IN ENGLAND"". Potentially designed to hold the brushes found with it. ",1,Fair,Unknown,Unknown,French Family,"Leather, Fabric, Thread, Metal",tinui,object,027,tinui_item,Inside French case,"",""
29,2023-10-25,23-01/1-4-29,Bristle brushes with wooden handles,Two identical bristle brushes with orange bristles and wooden handles,2,Good,Unknown,Unknown,French Family,"Plastic, Wood",tinui,object,028,tinui_item,"Inside French case, likely for animals","",""
30,2023-10-25,23-01/1-4-31,Butter Churn,"Butter churn, description from attached tag ""made from K white pine - as the wood did not taint the cream. (All butter exported before 1950 was in boxes of this timber""",1,Good,Unknown,Unknown,Unknown,"Wood, metal",tinui,object,029,tinui_item,"","",""
31,2023-10-25,23-01/1-4-32,Cream Can,"Rusted metal cream can with 173 painted on in yellow. Attached tag reads ""Dairy farmers sent cream only to butter factories. The skin milk was used to feed calves, with additives, and pigs. This way a small herd could be quite profitable. The advent of milk tankers stopped this.""",1,Fair,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,030,tinui_item,"","",""
32,2023-10-25,23-01/1-4-33,Early 1900s Wooden High chair,Early 1900s Wooden High chair. For description see attached image. ,1,Good,Unknown,Unknown,Atack Family,"Wood, nails",tinui,object,031,tinui_item,Estimated early 1900s,"",""
33,2023-10-25,23-01/1-4-34,Aunt Daisy's Book of Handy Hints,"Aunt Daisy's Book of Handy Hints: 170 pages of valuable hints for the housewife. Belonged to Miss H. Scott. 61c Oban Street Wadestown, Wellington. Miss Scott was a teacher for the correspondence school from 1922 to 1944. ",1,Fair,1950s,Whitcombe & Tombs LTD.,Belliss Family,Paper,tinui,object,032,tinui_item,Enclosed is handwritten recipe for Madeira cake ,"",""
34,2023-10-25,23-01/1-4-35,Ceramic jug for Arsenate of Lead,Ceramic jug for Arsenate of Lead (a pesticide used primarily in fruit orchards),1,Good,Unknown,Unknown,Unknown,"Ceramic, metal, paint",tinui,object,033,tinui_item,"","",""
35,2023-10-25,23-01/1-4-36,Bowl and lid with pink flowers,Ceramic bowl and lid with pink flower print,1,Good,Unknown,Unknown,Unknown,"Ceramic, paint",tinui,object,034,tinui_item,Estimated 1950s,"",""
36,2023-10-25,23-01/1-4-37,Vase with pink flowers,Ceramic vase with pink flowers,1,Good,Unknown,Unknown,Unknown,"Ceramic, paint",tinui,object,035,tinui_item,"","",""
37,2023-10-25,23-01/1-4-38,The New Zealand Scouts Handbook,"The New Zealand Scouts Handbook. Writing on the inside reads ""To Grant, Good Hunting, from (unclear but possibly) Akela""",1,Good,1964,The Boys Scouts Association of New Zealand,Unknown,Paper,tinui,object,036,tinui_item,Could be Grant Perry?,"",""
38,2023-10-25,23-01/1-4-39,Simple Guide to Weddings,Simple Guide to Weddings,1,Good,Unknown,Whitcombe & Tombs LTD.,Grant Perry,Paper,tinui,object,037,tinui_item,"","",""
39,2023-10-25,23-01/1-4-40,Embroidered pouch with flower,"Embroidered pouch with flower, likely a pansy or violet. Purple thread makes up the petals and brown and yellow make up the centre. The flower is bordered by a crochet edge. ",1,Good,Unknown,Unknown,Unknown,"fabric, Thread",tinui,object,038,tinui_item,"","",""
40,2023-10-25,23-01/1-4-41,Wairarapa Rugby Football Union Itinerary,Wairarapa Rugby Football Union Itinerary,1,Good,1958,Wairarapa Rugby Football Union,Unknown,Paper,tinui,object,039,tinui_item,"","",""
41,2023-10-25,23-01/1-4-42,Ancient Order of Foresters Rulebook,Ancient Order of Foresters Rulebook,1,Good,Unknown,Unknown,Grant Perry,Paper,tinui,object,040,tinui_item,"","",""
42,2023-10-25,23-01/1-4-43,Educational Broadcasts to Schools 1948,This Educational Broadcasts to Schools pamphlet belonged to Mataikora School teacher Miss Pavitt,1,Good,1948,"New Zealand Broadcasting Service, Anne Rowley",Grant Perry,Paper,tinui,object,041,tinui_item,"","",""
43,2023-10-25,23-01/1-4-44,Tinui Rifle Club Smith Cup,"Tinui Rifle Club Smith Cup, silver cup with engraved words and plastic base",1,Good,Unknown,Unknown,Unknown,"Metal, Plastic",tinui,object,042,tinui_item,"","",""
44,2023-10-25,23-01/1-4-45,Tinui Rifle Club Ratanui Cup,"Tinui Rifle Club Ratanui Cup, silver cup with engraved words and plastic base",1,Good,Unknown,Unknown,Unknown,"Metal, Plastic",tinui,object,043,tinui_item,"","",""
45,2023-10-25,23-01/1-4-46,Silver Plated Coffee Pot,"Silver Plated Coffee Pot with glass top and plastic handle. Attached note reads ""For Tinui Museum. From Mrs. Brenda Perry via Phyllis Merkle. Wedding Present 1952.""",1,Good,1952,"Towercrome Plate, Wolverhampton England",Brenda Perry,"Metal, Glass, Plastic",tinui,object,044,tinui_item,"","",""
